SR_Report_As_of_Date,ID,Line,Branch,Track_Name,Location_Description,Loc_GTFS_Stop_ID,Restriction_Status,Date_Restriction_Reported,Date_Restriction_Cleared,Restriction_Reason,Restriction_Speed_MPH,Restriction_Distance_Miles,Restriction_Distance_Feet,Restricted_Track_Pct,Total_Track_Miles,Restriction_Count_Start,Restriction_Count_New,Restriction_Count_Cleared,Restriction_Count_End,Restriction_Days_to_Clear,Restriction_Days_Active,ObjectId
2023/02/28 05:00:00+00,330362,Green Line,"Green Line, Medford, Union & Trunk",GL Kenmore-College Ave EB,EB Arlington to Boylston,place-armnl | place-boyls,Active Restriction,2021/09/24 04:00:00+00,2023/02/07 05:00:00+00,Track,6 mph,0.021,112,0.002,14,1,0,0,0,501,,1
2023/02/28 05:00:00+00,330362,Green Line,"Green Line, Medford, Union & Trunk",GL Kenmore-College Ave EB,EB Arlington to Boylston,place-armnl | place-boyls,Restriction Cleared,2021/09/24 04:00:00+00,2023/02/07 05:00:00+00,Track,6 mph,0.021,112,0.002,14,0,0,-1,0,501,,2
2023/02/28 05:00:00+00,330367,Green Line,"Green Line, Medford, Union & Trunk",GL Kenmore-College Ave WB,WB Boylston to Arlington,place-boyls | place-armnl,Active Restriction,2021/09/24 04:00:00+00,,Track,6 mph,0.021,112,0.002,14,1,0,0,1,,522,3
2023/02/28 05:00:00+00,518715,Orange Line,Orange Line,OL NB,NB Malden to Oak Grove,place-mlmnl | place-ogmnl,Restriction Opened,2023/02/21 05:00:00+00,,Track,10 mph,0.076,400,0.003,22.3,0,1,0,0,,7,4
2023/02/28 05:00:00+00,518715,Orange Line,Orange Line,OL NB,NB Malden to Oak Grove,place-mlmnl | place-ogmnl,Active Restriction,2023/02/21 05:00:00+00,,Track,10 mph,0.076,400,0.003,22.3,0,0,0,1,,7,5
2023/02/28 05:00:00+00,230851,Green Line,Green Line D,GL Kenmore-Riverside WB,WB Kenmore to Fenway,place-kencl | place-fenwy,Active Restriction,2020/12/24 05:00:00+00,,Power,3 mph,0.019,100,0.001,18.8,1,0,0,1,,796,6
2023/02/28 05:00:00+00,325606,Green Line,Green Line E,GL Copley-Heath St. EB,EB Museum of Fine Arts to Northeastern,place-mfa | place-nuniv,Active Restriction,2021/09/09 04:00:00+00,,Track,10 mph,0.095,500,0.019,5.1,1,0,0,1,,537,7
2023/02/28 05:00:00+00,325612,Green Line,Green Line E,GL Copley-Heath St. WB,WB Northeastern to Museum of Fine Arts,place-nuniv | place-mfa,Active Restriction,2021/09/09 04:00:00+00,,Track,10 mph,0.095,500,0.019,5.1,1,0,0,1,,537,8
2023/02/28 05:00:00+00,325637,Green Line,Green Line C,GL Kenmore-Cleveland Cir. WB,WB Englewood Ave to Cleveland Cir.,place-engav | place-clmnl,Active Restriction,2021/09/09 04:00:00+00,,Track,10 mph,0.026,137,0.004,5.9,1,0,0,1,,537,9
2023/02/28 05:00:00+00,329396,Green Line,"Green Line, Medford, Union & Trunk",GL Kenmore-College Ave EB,EB Boylston Station,place-boyls,Active Restriction,2021/09/22 04:00:00+00,,Track,10 mph,0.227,1200,0.016,14,1,0,0,1,,524,10
2023/02/28 05:00:00+00,329925,Green Line,"Green Line, Medford, Union & Trunk",GL Kenmore-College Ave WB,WB Hynes to Kenmore,place-hymnl | place-mdftf,Active Restriction,2021/09/23 04:00:00+00,,Track,6 mph,0.066,350,0.005,14,1,0,0,1,,523,11
2023/02/28 05:00:00+00,334870,Green Line,"Green Line, Medford, Union & Trunk",GL Kenmore-College Ave EB,EB North Sta. to Science Park,place-north | place-spmnl,Restriction Cleared,2021/10/05 04:00:00+00,2023/02/01 05:00:00+00,Track,6 mph,0.051,270,0.004,14,0,0,-1,0,484,,12
